user_id,total_inflow,total_income,total_transfer_in,total_outflow,outflow_inflow_ratio,income_spent_pct
b'\x06\x04>\xce\x1a\xd5@<\xa3\xca\x8d\xdc8\xf5\xb5\xb4',27640.76,11597.45,16043.31,27827.109999999997,1.0067418551443592,2.399416250986208
"b'\x06%""\x9e\x16qB\xac\x94\x94\x9fhD\xb0O\xab'",28020.65,13790.07,14230.58,34786.12,1.2414458622480207,2.522548471472589
b'\x06(\x16\x92EaG\xcd\xa0_\xdf\xact\x97\xb8\xb0',30037.83,8767.74,21270.09,29805.110000000004,0.9922524363444364,3.399406232392841
b'\x06)\xa2\xac\xf9xH_\x9aRK6\xab\xb7\xafh',32347.85,11578.9,20768.95,33827.149999999994,1.045731014580567,2.9214476331948624
b'\x06^\xa1\x95\xa8\x95A)\x88\xe9\x82\xf0\x84\xc9\x0c\xd8',43913.36,17414.77,26498.59,44157.2,1.0055527520554108,2.5356177543544933
b'\x06d\x1emR\xa6N\xf9\xbc\x97)\x9cR8x\x1a',18624.83,9661.550000000001,8963.28,21929.600000000002,1.177438935013098,2.269780728765053
b'\x06eb\x8a\x1d\xd1@B\xa2\x97\xab\xf6\xc6\xe0WS',1008.55,0.66,1007.89,990.05,0.9816568340687125,10.0
b'\x06s\xeb\xe9\xbb\xb7L@\xa2FZ\x01#\x97\xba;',11291.55,7647.62,3643.93,12185.52,1.0791715929168273,1.5933741477740788
b'\x06\x93x\x7f\xca\x01El\xba\x16\x0f\x94\xc4a\x06\xd3',16783.22,323.91,16459.31,17233.93,1.0268547990194967,10.0
b'\x06\x98\xe0p/ B \xb8\x98I@\x0e\xce\x7f\x1f',31379.27,13101.54,18277.73,40276.02999999999,1.283523485409316,3.0741447188651096
b'\x06\x9f\xaf\x15Q\x04F\xdf\x94\xb0\xd8/\x85?/w',1757.25,671.9200000000001,1085.33,2782.45,1.5834115805946791,4.141043576616263
"b""\x06\xae'.\x12`H\xe8\xa8\xb9H\xce\xf3\xd8>\x15""",7382.94,4807.99,2574.95,7922.829999999999,1.073126694785546,1.6478466053381973
"b""\x06\xb5\xa1@C\xb0HP\x95tw'@Mv\xd0""",24013.09,15469.619999999999,8543.47,24816.92,1.0334746590297208,1.6042359152972083
b'\x06\xbbw\xb8\x8fcK\x0f\xa1\xed- \x96\x03\xf2?',6345.96,4587.74,1758.22,6826.58,1.0757363740080303,1.4880049872050292
b'\x06\xbc\x0f\xec\x16\xbbJ\x03\xb4CW\xe4\xa8\xa98\xb5',2611.66,1187.0,1424.66,2918.92,1.1176493111660784,2.459073294018534
"b'\x06\xcf\x19fjKH\xa8\xb4""\xd1_\xd8\xc6\r\xc9'",13063.26,8555.94,4507.32,13128.46,1.0049910971687006,1.5344263751265201
b'\x06\xd5\x11\xd7\xbc\x05D\x06\xab\x10$\x9fl\x12V\x13',70550.68,28491.62,42059.06,78911.31999999999,1.1185054488489692,2.7696326147828727
b'\x06\xd7y\x8b\x92\xf1@o\x8c\xfcl\xb0\x10F/\xa9',11282.25,11249.09,33.16,10654.92,0.9443967293757894,0.9471806163876367
b'\x06\xeb\xe3N\x0e\xdaM\x86\xbbHU\xa7\xde\x99\xbd$',3183.01,2643.24,539.77,3313.27,1.0409235283583778,1.2534881433392353
